country,gdp_nominal,gdp, gdp_growth ,population,gdp_per_capita,pct_share_world_gdp
Sierra Leone,3775047334,$3.78 billion,0.04,7488423,504,0
Guyana,3621046005,$3.62 billion,0.03,775222,4671,0
Liberia,3285455000,$3.29 billion,0.02,4702226,699,0
Burundi,3172416146,$3.17 billion,0.01,10827019,293,0
Andorra,3012914131,$3.01 billion,0.02,77001,39128,0
Suriname,2995827901,$3.00 billion,0.02,570496,5251,0
Timor-Leste,2954621000,$2.95 billion,-0.08,1243258,2377,0
Aruba,2700558659,$2.70 billion,0.01,105366,25630,0
Lesotho,2578265358,$2.58 billion,-0.02,2091534,1233,0
Bhutan,2528007911,$2.53 billion,0.05,745563,3391,0
Central African Republic,1949411659,$1.95 billion,0.04,4596023,424,0
Belize,1862614800,$1.86 billion,0.01,375769,4957,0
Cabo Verde,1772706451,$1.77 billion,0.04,537498,3298,0
Saint Lucia,1737504296,$1.74 billion,0.04,180954,9602,0
San Marino,1632860041,$1.63 billion,0.02,33671,48495,0
Northern Mariana Islands,1593000000,$1.59 billion,0.25,56562,28164,0
Antigua and Barbuda,1510084751,$1.51 billion,0.03,95426,15825,0
Seychelles,1497959569,$1.50 billion,0.05,96418,15536,0
Gambia,1489464788,$1.49 billion,0.05,2213889,673,0
Guinea-Bissau,1346841897,$1.35 billion,0.06,1828145,737,0
Solomon Islands,1303453622,$1.30 billion,0.03,636039,2049,0
Grenada,1126882296,$1.13 billion,0.05,110874,10164,0
Comoros,1068124330,$1.07 billion,0.03,813892,1312,0
Saint Kitts & Nevis,992007403,$992 million,0.01,52045,19061,0
Vanuatu,862879789,$863 million,0.05,285510,3022,0
Samoa,840927997,$841 million,0.03,195352,4305,0
St. Vincent & Grenadines,785222509,$785 million,0.01,109827,7150,0
American Samoa,634000000,$634 million,-0.05,55620,11399,0
Dominica,496727000,$497 million,-0.1,71458,6951,0
Tonga,427659795,$428 million,0.03,101998,4193,0
Sao Tome & Principe,392570293,$393 million,0.04,207089,1896,0
Palau,289823500,$290 million,-0.04,17808,16275,0
Marshall Islands,204173430,$204 million,0.04,58058,3517,0
Kiribati,185572502,$186 million,0,114158,1626,0
Tuvalu,39731317,$40 million,0.03,11370,3494,0
